State,District,FPS ID,Total e-Transaction,Aadhaar Authenticated,Other Mode Authenticated,Non-Authenticated,Transaction PHH Regular,Transaction PHH Intra State,Transaction PHH Inter State,Transaction PHH Total,Transaction AAY Regular,Transaction AAY Intra State,Transaction AAY Inter State,Transaction AAY Total,Ration Card PHH Regular,Ration Card PHH Intra State,Ration Card PHH Inter State,Ration Card PHH Total,Ration Card AAY Regular,Ration Card AAY Intra State,Ration Card AAY Inter State,Ration Card AAY Total,Wheat Regular,Wheat Intra State,Wheat Inter State,Wheat Total,Fortified Rice Regular,Fortified Rice Intra State,Fortified Rice Inter State,Fortified Rice Total,Rice Regular,Rice Intra State,Rice Inter State,Rice Total,Coarse Grains Total Regular,Coarse Grains Total Intra State,Coarse Grains Total Inter State,Coarse Grains Total Total,Barley Regular,Barley Intra State,Barley Inter State,Barley Total,Bajra Regular,Bajra Intra State,Bajra Inter State,Bajra Total,Maize Regular,Maize Intra State,Maize Inter State,Maize Total,Jowar Regular,Jowar Intra State,Jowar Inter State,Jowar Total,Ragi Regular,Ragi Intra State,Ragi Inter State,Ragi Total,Kodo Regular,Kodo Intra State,Kodo Inter State,Kodo Total,Total Commodity Regular,Total Commodity Intra State,Total Commodity Inter State,Total Commodity Total,Month-Year
GOA,SOUTH GOA,158600100001,562,562,0,0,378,0,0,378,184,0,0,184,377,0,0,377,184,0,0,184,0,0,0,0.0,13.655,0.0,0.0,13.655,"13,655",0,0,"13,655.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"13,655",0,0,"13,655.0",4-2026
GOA,SOUTH GOA,158600100002,594,594,0,0,565,2,0,567,27,0,0,27,565,2,0,567,27,0,0,27,0,0,0,0.0,10.562,0.025,0.0,10.587,"10,562",25,0,"10,587.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"10,562",25,0,"10,587.0",4-2026
GOA,SOUTH GOA,158600100003,561,561,0,0,535,11,5,551,10,0,0,10,535,11,5,551,10,0,0,10,0,0,0,0.0,9.76,0.215,0.1,10.075,"9,760",215,100,"10,075.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"9,760",215,100,"10,075.0",4-2026
GOA,SOUTH GOA,158600100004,659,659,0,0,631,8,0,639,19,0,1,20,631,8,0,639,19,0,1,20,0,0,0,0.0,13.955,0.11,0.035,14.1,"13,955",110,35,"14,100.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"13,955",110,35,"14,100.0",4-2026
GOA,SOUTH GOA,158600100005,238,238,0,0,228,1,0,229,9,0,0,9,228,1,0,229,9,0,0,9,0,0,0,0.0,5.56,0.03,0.0,5.59,"5,560",30,0,"5,590.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"5,560",30,0,"5,590.0",4-2026
GOA,SOUTH GOA,158600100006,"1,488","1,488",0,0,"1,299",36,0,"1,335",152,1,0,153,"1,299",36,0,"1,335",152,1,0,153,0,0,0,0.0,32.11,0.875,0.0,32.985,"32,110",875,0,"32,985.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"32,110",875,0,"32,985.0",4-2026
GOA,SOUTH GOA,158600100007,232,232,0,0,218,3,0,221,11,0,0,11,217,3,0,220,11,0,0,11,0,0,0,0.0,4.1,0.055,0.0,4.155,"4,100",55,0,"4,155.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"4,100",55,0,"4,155.0",4-2026
GOA,SOUTH GOA,158600100008,167,167,0,0,158,0,1,159,8,0,0,8,158,0,1,159,8,0,0,8,0,0,0,0.0,3.06,0.0,0.01,3.07,"3,060",0,10,"3,070.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"3,060",0,10,"3,070.0",4-2026
GOA,SOUTH GOA,158600100009,320,320,0,0,282,0,0,282,38,0,0,38,282,0,0,282,38,0,0,38,0,0,0,0.0,6.335,0.0,0.0,6.335,"6,335",0,0,"6,335.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"6,335",0,0,"6,335.0",4-2026
GOA,SOUTH GOA,158600100010,669,669,0,0,625,12,0,637,32,0,0,32,625,12,0,637,32,0,0,32,0,0,0,0.0,13.155,0.2,0.0,13.355,"13,155",200,0,"13,355.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"13,155",200,0,"13,355.0",4-2026
GOA,NORTH GOA,158500100001,143,143,0,0,143,0,0,143,0,0,0,0,143,0,0,143,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,3.0,"3,000",0,0,"3,000.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"3,000",0,0,"3,000.0",3-2026
GOA,NORTH GOA,158500100002,279,279,0,0,169,70,9,248,27,2,2,31,169,70,9,248,27,2,2,31,0,0,0,0.0,3.89,1.3,0.21,5.4,"3,890","1,300",235,"5,425.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"3,890","1,300",235,"5,425.0",3-2026
GOA,NORTH GOA,158500100005,384,384,0,0,330,4,21,355,19,0,10,29,330,4,21,355,19,0,10,29,0,0,0,0.0,6.655,0.06,0.77,7.485,"6,655",60,770,"7,485.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"6,655",60,770,"7,485.0",3-2026
GOA,NORTH GOA,158500100006,28,28,0,0,27,0,0,27,1,0,0,1,27,0,0,27,1,0,0,1,0,0,0,0.0,0.49,0.0,0.0,0.49,490,0,0,490.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,490,0,0,490.0,3-2026
GOA,NORTH GOA,158500100007,445,445,0,0,424,4,17,445,0,0,0,0,424,4,17,445,0,0,0,0,0,0,0,0.0,7.84,0.055,0.345,8.24,"7,840",55,345,"8,240.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"7,840",55,345,"8,240.0",3-2026
GOA,NORTH GOA,158500100008,142,142,0,0,135,0,0,135,7,0,0,7,135,0,0,135,7,0,0,7,0,0,0,0.0,2.44,0.0,0.0,2.44,"2,440",0,0,"2,440.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"2,440",0,0,"2,440.0",3-2026
GOA,NORTH GOA,158500100009,507,507,0,0,464,6,7,477,29,0,1,30,464,6,7,477,29,0,1,30,0,0,0,0.0,10.525,0.125,0.14,10.79,"10,525",125,140,"10,790.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"10,525",125,140,"10,790.0",3-2026
GOA,NORTH GOA,158500100011,615,615,0,0,573,0,25,598,12,0,5,17,573,0,25,598,12,0,5,17,0,0,0,0.0,11.815,0.0,0.685,12.5,"11,815",0,685,"12,500.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"11,815",0,685,"12,500.0",3-2026
GOA,NORTH GOA,158500100012,117,117,0,0,101,11,0,112,5,0,0,5,101,11,0,112,5,0,0,5,0,0,0,0.0,2.12,0.12,0.0,2.24,"2,120",120,0,"2,240.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"2,120",120,0,"2,240.0",3-2026
GOA,NORTH GOA,158500100013,95,95,0,0,52,0,4,56,39,0,0,39,52,0,4,56,39,0,0,39,0,0,0,0.0,2.335,0.0,0.085,2.42,"2,335",0,85,"2,420.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"2,335",0,85,"2,420.0",3-2026
GOA,SOUTH GOA,158600100001,562,562,0,0,380,0,0,380,182,0,0,182,380,0,0,380,181,0,0,181,0,0,0,0.0,13.715,0.0,0.0,13.715,"13,715",0,0,"13,715.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"13,715",0,0,"13,715.0",3-2026
GOA,SOUTH GOA,158600100002,573,573,0,0,545,1,0,546,27,0,0,27,545,1,0,546,27,0,0,27,0,0,0,0.0,10.24,0.01,0.0,10.25,"10,240",10,0,"10,250.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"10,240",10,0,"10,250.0",3-2026
GOA,SOUTH GOA,158600100003,560,560,0,0,536,10,5,551,8,1,0,9,536,10,5,551,8,1,0,9,0,0,0,0.0,9.735,0.225,0.09,10.05,"9,735",225,90,"10,050.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"9,735",225,90,"10,050.0",3-2026
GOA,SOUTH GOA,158600100004,636,636,0,0,609,8,0,617,19,0,0,19,609,8,0,617,19,0,0,19,0,0,0,0.0,13.595,0.11,0.0,13.705,"13,595",110,0,"13,705.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"13,595",110,0,"13,705.0",3-2026
GOA,SOUTH GOA,158600100005,236,236,0,0,226,1,0,227,9,0,0,9,226,1,0,227,9,0,0,9,0,0,0,0.0,5.55,0.03,0.0,5.58,"5,550",30,0,"5,580.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"5,550",30,0,"5,580.0",3-2026
GOA,SOUTH GOA,158600100006,"1,486","1,486",0,0,"1,306",29,1,"1,336",149,1,0,150,"1,305",29,1,"1,335",149,1,0,150,0,0,0,0.0,32.145,0.77,0.03,32.945,"32,145",770,30,"32,945.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"32,145",770,30,"32,945.0",3-2026
GOA,SOUTH GOA,158600100007,232,232,0,0,220,1,0,221,11,0,0,11,219,1,0,220,11,0,0,11,0,0,0,0.0,4.13,0.015,0.0,4.145,"4,130",15,0,"4,145.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"4,130",15,0,"4,145.0",3-2026
GOA,SOUTH GOA,158600100008,179,179,0,0,170,0,1,171,8,0,0,8,170,0,1,171,8,0,0,8,0,0,0,0.0,3.175,0.0,0.01,3.185,"3,175",0,10,"3,185.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"3,175",0,10,"3,185.0",3-2026
GOA,SOUTH GOA,158600100009,329,329,0,0,292,0,0,292,37,0,0,37,292,0,0,292,37,0,0,37,0,0,0,0.0,6.425,0.0,0.0,6.425,"6,425",0,0,"6,425.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"6,425",0,0,"6,425.0",3-2026
GOA,SOUTH GOA,158600100010,655,655,0,0,610,14,0,624,31,0,0,31,610,14,0,624,31,0,0,31,0,0,0,0.0,12.755,0.245,0.0,13.0,"12,755",245,0,"13,000.0",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,"12,755",245,0,"13,000.0",3-2026
